Date,Time,Dissolved_Oxygen_Concentration,Temp
06-10-22,10:00:00,0.68,30.66
06-10-22,10:10:00,-0.02,27.1
06-10-22,10:20:00,-0.03,26.38
06-10-22,10:30:00,-0.03,26.26
06-10-22,10:40:00,-0.03,26.24
06-10-22,10:50:00,-0.02,26.3
06-10-22,11:00:00,-0.01,26.34
06-10-22,11:10:00,-0.02,26.36
06-10-22,11:20:00,0,26.36
06-10-22,11:30:00,-0.01,26.36
06-10-22,11:40:00,0,26.36
06-10-22,11:50:00,0.01,26.38
06-10-22,12:00:00,0,26.38
06-10-22,12:10:00,-0.02,26.38
06-10-22,12:20:00,0,26.4
06-10-22,12:30:00,-0.02,26.42
06-10-22,12:40:00,0,26.44
06-10-22,12:50:00,0.03,26.48
06-10-22,13:00:00,0,26.46
06-10-22,13:10:00,0,26.46
06-10-22,13:20:00,0,26.48
06-10-22,13:30:00,0.03,26.52
06-10-22,13:40:00,0.11,26.54
06-10-22,13:50:00,0.14,26.56
06-10-22,14:00:00,0.26,26.58
06-10-22,14:10:00,0.31,26.6
06-10-22,14:20:00,0.32,26.58
06-10-22,14:30:00,0.12,26.54
06-10-22,14:40:00,0.07,26.5
06-10-22,14:50:00,0.09,26.48
06-10-22,15:00:00,0.05,26.48
06-10-22,15:10:00,0.05,26.48
06-10-22,15:20:00,0.25,26.48
06-10-22,15:30:00,0.31,26.5
06-10-22,15:40:00,0.34,26.5
06-10-22,15:50:00,0.36,26.5
06-10-22,16:00:00,0.37,26.48
06-10-22,16:10:00,2.38,26.48
06-10-22,16:20:00,2.38,26.5
06-10-22,16:30:00,2.4,26.52
06-10-22,16:40:00,2.35,26.52
06-10-22,16:50:00,2.32,26.52
06-10-22,17:00:00,2.33,26.5
06-10-22,17:10:00,2.25,26.5
06-10-22,17:20:00,2.18,26.5
06-10-22,17:30:00,2.25,26.5
06-10-22,17:40:00,2.31,26.5
06-10-22,17:50:00,2.29,26.48
06-10-22,18:00:00,2.1,26.48
06-10-22,18:10:00,2.12,26.46
06-10-22,18:20:00,1.94,26.48
06-10-22,18:30:00,1.86,26.46
06-10-22,18:40:00,1.8,26.46
06-10-22,18:50:00,1.88,26.44
06-10-22,19:00:00,1.81,26.44
06-10-22,19:10:00,1.81,26.42
06-10-22,19:20:00,1.81,26.42
06-10-22,19:30:00,1.78,26.4
06-10-22,19:40:00,1.9,26.38
06-10-22,19:50:00,1.93,26.36
06-10-22,20:00:00,1.88,26.34
06-10-22,20:10:00,1.81,26.32
06-10-22,20:20:00,1.69,26.3
06-10-22,20:30:00,1.69,26.28
06-10-22,20:40:00,1.64,26.26
06-10-22,20:50:00,1.55,26.26
06-10-22,21:00:00,1.57,26.24
06-10-22,21:10:00,1.52,26.22
06-10-22,21:20:00,1.45,26.2
06-10-22,21:30:00,1.14,26.18
06-10-22,21:40:00,0.98,26.16
06-10-22,21:50:00,1.01,26.14
06-10-22,22:00:00,0.75,26.14
06-10-22,22:10:00,0.63,26.12
06-10-22,22:20:00,0.58,26.1
06-10-22,22:30:00,0.69,26.08
06-10-22,22:40:00,0.69,26.06
06-10-22,22:50:00,0.69,26.04
06-10-22,23:00:00,0.62,26.04
06-10-22,23:10:00,0.56,26.02
06-10-22,23:20:00,0.62,26
06-10-22,23:30:00,0.59,25.98
06-10-22,23:40:00,0.59,25.96
06-10-22,23:50:00,0.51,25.96
07-10-22,0:00:00,0.97,25.94
07-10-22,0:10:00,0.93,25.92
07-10-22,0:20:00,0.87,25.92
07-10-22,0:30:00,0.77,25.9
07-10-22,0:40:00,0.69,25.88
07-10-22,0:50:00,0.64,25.88
07-10-22,1:00:00,0.42,25.88
07-10-22,1:10:00,0.66,25.86
07-10-22,1:20:00,0.52,25.84
07-10-22,1:30:00,0.4,25.84
07-10-22,1:40:00,0.35,25.84
07-10-22,1:50:00,0.44,25.82
07-10-22,2:00:00,0.21,25.82
07-10-22,2:10:00,0.29,25.8
07-10-22,2:20:00,0.29,25.8
07-10-22,2:30:00,0.23,25.78
07-10-22,2:40:00,0.16,25.78
07-10-22,2:50:00,0.12,25.76
07-10-22,3:00:00,0.13,25.76
07-10-22,3:10:00,0.14,25.74
07-10-22,3:20:00,0.04,25.72
07-10-22,3:30:00,0.02,25.72
07-10-22,3:40:00,0.07,25.7
07-10-22,3:50:00,0.05,25.7
07-10-22,4:00:00,0,25.68
07-10-22,4:10:00,0.02,25.68
07-10-22,4:20:00,0.02,25.68
07-10-22,4:30:00,-0.02,25.66
07-10-22,4:40:00,0,25.64
07-10-22,4:50:00,0,25.64
07-10-22,5:00:00,-0.02,25.62
07-10-22,5:10:00,-0.03,25.62
07-10-22,5:20:00,0.01,25.6
